order_id,order_date,channel,sku_id,sku_name,category,quantity,revenue,cost_price,total_cost,fee_rate,platform_fee,net_profit,net_margin_pct
ORD00099,2026-06-05,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,2,112400.0,15000,30000,0.13,14612.0,67788.0,60.3
ORD00100,2026-06-05,TikTok Shop,SKU006,Trà hoa đậu biếc,An thần,3,102100.0,8800,26400,0.16,16336.0,59364.0,58.1
ORD00101,2026-06-05,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,3,168500.0,15000,45000,0.13,21905.0,101595.0,60.3
ORD00102,2026-06-06,Shopee,SKU007,Trà gừng mật ong,Giữ ấm,3,122300.0,11000,33000,0.13,15899.0,73401.0,60.0
ORD00103,2026-06-06,TikTok Shop,SKU005,Trà hoa cúc an thần,An thần,1,36600.0,9500,9500,0.16,5856.0,21244.0,58.0
ORD00104,2026-06-06,Shopee,SKU002,Trà lá nam sen ổi,Thanh lọc,2,63600.0,8500,17000,0.13,8268.0,38332.0,60.3
ORD00105,2026-06-06,Shopee,SKU006,Trà hoa đậu biếc,An thần,1,33600.0,8800,8800,0.13,4368.0,20432.0,60.8
ORD00106,2026-06-06,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,1,52400.0,15000,15000,0.13,6812.0,30588.0,58.4
ORD00107,2026-06-06,Shopee,SKU006,Trà hoa đậu biếc,An thần,2,67500.0,8800,17600,0.13,8775.0,41125.0,60.9
ORD00108,2026-06-06,TikTok Shop,SKU004,Trà cà leo gai giảm cân,Detox,1,53700.0,15000,15000,0.16,8592.0,30108.0,56.1
ORD00109,2026-06-06,Zalo/Fanpage,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,3,101400.0,9800,29400,0.0,0.0,72000.0,71.0
ORD00110,2026-06-06,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,3,163000.0,15000,45000,0.13,21190.0,96810.0,59.4
ORD00111,2026-06-06,Shopee,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,1,35800.0,9800,9800,0.13,4654.0,21346.0,59.6
ORD00112,2026-06-06,Shopee,SKU002,Trà lá nam sen ổi,Thanh lọc,1,29600.0,8500,8500,0.13,3848.0,17252.0,58.3
ORD00113,2026-06-06,Đại lý,SKU006,Trà hoa đậu biếc,An thần,1,33000.0,8800,8800,0.0,0.0,24200.0,73.3
ORD00114,2026-06-06,Zalo/Fanpage,SKU006,Trà hoa đậu biếc,An thần,3,101700.0,8800,26400,0.0,0.0,75300.0,74.0
ORD00115,2026-06-06,TikTok Shop,SKU003,Trà diếp cá rau má,Detox,3,125500.0,10500,31500,0.16,20080.0,73920.0,58.9
ORD00116,2026-06-06,Zalo/Fanpage,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,1,36200.0,9800,9800,0.0,0.0,26400.0,72.9
ORD00117,2026-06-06,Shopee,SKU007,Trà gừng mật ong,Giữ ấm,3,117200.0,11000,33000,0.13,15236.0,68964.0,58.8
ORD00118,2026-06-06,Shopee,SKU003,Trà diếp cá rau má,Detox,1,40700.0,10500,10500,0.13,5291.0,24909.0,61.2
ORD00119,2026-06-06,Zalo/Fanpage,SKU006,Trà hoa đậu biếc,An thần,2,67000.0,8800,17600,0.0,0.0,49400.0,73.7
ORD00120,2026-06-06,Đại lý,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,2,72700.0,9800,19600,0.0,0.0,53100.0,73.0
ORD00121,2026-06-06,Zalo/Fanpage,SKU004,Trà cà leo gai giảm cân,Detox,2,106600.0,15000,30000,0.0,0.0,76600.0,71.9
ORD00122,2026-06-06,Shopee,SKU007,Trà gừng mật ong,Giữ ấm,2,75900.0,11000,22000,0.13,9867.0,44033.0,58.0
ORD00123,2026-06-06,Shopee,SKU005,Trà hoa cúc an thần,An thần,2,74000.0,9500,19000,0.13,9620.0,45380.0,61.3
ORD00124,2026-06-06,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,3,157000.0,15000,45000,0.13,20410.0,91590.0,58.3
ORD00125,2026-06-06,Shopee,SKU003,Trà diếp cá rau má,Detox,2,78000.0,10500,21000,0.13,10140.0,46860.0,60.1
ORD00126,2026-06-07,Shopee,SKU005,Trà hoa cúc an thần,An thần,3,107600.0,9500,28500,0.13,13988.0,65112.0,60.5
ORD00127,2026-06-07,Shopee,SKU003,Trà diếp cá rau má,Detox,2,81100.0,10500,21000,0.13,10543.0,49557.0,61.1
ORD00128,2026-06-07,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,2,112600.0,15000,30000,0.13,14638.0,67962.0,60.4
ORD00129,2026-06-07,Shopee,SKU007,Trà gừng mật ong,Giữ ấm,2,76900.0,11000,22000,0.13,9997.0,44903.0,58.4
ORD00130,2026-06-07,Shopee,SKU003,Trà diếp cá rau má,Detox,2,85200.0,10500,21000,0.13,11076.0,53124.0,62.4
ORD00131,2026-06-07,Đại lý,SKU004,Trà cà leo gai giảm cân,Detox,3,165100.0,15000,45000,0.0,0.0,120100.0,72.7
ORD00132,2026-06-07,Zalo/Fanpage,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,2,68000.0,9800,19600,0.0,0.0,48400.0,71.2
ORD00133,2026-06-07,Shopee,SKU001,Trà atiso thanh lọc,Thanh lọc,1,34800.0,9000,9000,0.13,4524.0,21276.0,61.1
ORD00134,2026-06-07,Zalo/Fanpage,SKU007,Trà gừng mật ong,Giữ ấm,2,81700.0,11000,22000,0.0,0.0,59700.0,73.1
ORD00135,2026-06-07,Đại lý,SKU005,Trà hoa cúc an thần,An thần,2,74900.0,9500,19000,0.0,0.0,55900.0,74.6
ORD00136,2026-06-07,TikTok Shop,SKU001,Trà atiso thanh lọc,Thanh lọc,2,65400.0,9000,18000,0.16,10464.0,36936.0,56.5
ORD00137,2026-06-07,TikTok Shop,SKU001,Trà atiso thanh lọc,Thanh lọc,2,66900.0,9000,18000,0.16,10704.0,38196.0,57.1
ORD00138,2026-06-07,TikTok Shop,SKU003,Trà diếp cá rau má,Detox,2,79900.0,10500,21000,0.16,12784.0,46116.0,57.7
ORD00139,2026-06-07,Đại lý,SKU004,Trà cà leo gai giảm cân,Detox,1,53400.0,15000,15000,0.0,0.0,38400.0,71.9
ORD00140,2026-06-07,Zalo/Fanpage,SKU001,Trà atiso thanh lọc,Thanh lọc,1,33100.0,9000,9000,0.0,0.0,24100.0,72.8
ORD00141,2026-06-07,Shopee,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,1,36100.0,9800,9800,0.13,4693.0,21607.0,59.9
ORD00142,2026-06-07,Đại lý,SKU002,Trà lá nam sen ổi,Thanh lọc,1,31600.0,8500,8500,0.0,0.0,23100.0,73.1
ORD00143,2026-06-08,Shopee,SKU005,Trà hoa cúc an thần,An thần,2,77800.0,9500,19000,0.13,10114.0,48686.0,62.6
ORD00144,2026-06-08,TikTok Shop,SKU003,Trà diếp cá rau má,Detox,1,39400.0,10500,10500,0.16,6304.0,22596.0,57.4
ORD00145,2026-06-08,TikTok Shop,SKU006,Trà hoa đậu biếc,An thần,1,34200.0,8800,8800,0.16,5472.0,19928.0,58.3
ORD00146,2026-06-08,Shopee,SKU003,Trà diếp cá rau má,Detox,2,77500.0,10500,21000,0.13,10075.0,46425.0,59.9
ORD00147,2026-06-08,Shopee,SKU005,Trà hoa cúc an thần,An thần,2,73200.0,9500,19000,0.13,9516.0,44684.0,61.0
ORD00148,2026-06-08,Zalo/Fanpage,SKU001,Trà atiso thanh lọc,Thanh lọc,3,106200.0,9000,27000,0.0,0.0,79200.0,74.6
ORD00149,2026-06-08,Shopee,SKU005,Trà hoa cúc an thần,An thần,1,38500.0,9500,9500,0.13,5005.0,23995.0,62.3
ORD00150,2026-06-08,TikTok Shop,SKU002,Trà lá nam sen ổi,Thanh lọc,2,64400.0,8500,17000,0.16,10304.0,37096.0,57.6
ORD00151,2026-06-08,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,1,51000.0,15000,15000,0.13,6630.0,29370.0,57.6
ORD00152,2026-06-08,TikTok Shop,SKU001,Trà atiso thanh lọc,Thanh lọc,2,70700.0,9000,18000,0.16,11312.0,41388.0,58.5
ORD00153,2026-06-08,Shopee,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,3,110000.0,9800,29400,0.13,14300.0,66300.0,60.3
ORD00154,2026-06-08,TikTok Shop,SKU002,Trà lá nam sen ổi,Thanh lọc,1,32000.0,8500,8500,0.16,5120.0,18380.0,57.4
ORD00155,2026-06-08,Đại lý,SKU002,Trà lá nam sen ổi,Thanh lọc,2,64300.0,8500,17000,0.0,0.0,47300.0,73.6
ORD00156,2026-06-09,Shopee,SKU006,Trà hoa đậu biếc,An thần,1,32500.0,8800,8800,0.13,4225.0,19475.0,59.9
ORD00157,2026-06-09,Shopee,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,1,36600.0,9800,9800,0.13,4758.0,22042.0,60.2
ORD00158,2026-06-09,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,2,109300.0,15000,30000,0.13,14209.0,65091.0,59.6
ORD00159,2026-06-09,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,1,51700.0,15000,15000,0.13,6721.0,29979.0,58.0
ORD00160,2026-06-09,Shopee,SKU006,Trà hoa đậu biếc,An thần,1,32300.0,8800,8800,0.13,4199.0,19301.0,59.8
ORD00161,2026-06-09,TikTok Shop,SKU007,Trà gừng mật ong,Giữ ấm,2,73700.0,11000,22000,0.16,11792.0,39908.0,54.1
ORD00162,2026-06-09,Đại lý,SKU001,Trà atiso thanh lọc,Thanh lọc,3,101300.0,9000,27000,0.0,0.0,74300.0,73.3
ORD00163,2026-06-09,TikTok Shop,SKU003,Trà diếp cá rau má,Detox,2,83200.0,10500,21000,0.16,13312.0,48888.0,58.8
ORD00164,2026-06-09,TikTok Shop,SKU006,Trà hoa đậu biếc,An thần,1,32400.0,8800,8800,0.16,5184.0,18416.0,56.8
ORD00165,2026-06-09,Shopee,SKU003,Trà diếp cá rau má,Detox,3,124000.0,10500,31500,0.13,16120.0,76380.0,61.6
ORD00166,2026-06-09,TikTok Shop,SKU004,Trà cà leo gai giảm cân,Detox,2,113300.0,15000,30000,0.16,18128.0,65172.0,57.5
ORD00167,2026-06-09,TikTok Shop,SKU003,Trà diếp cá rau má,Detox,2,79800.0,10500,21000,0.16,12768.0,46032.0,57.7
ORD00168,2026-06-09,Shopee,SKU002,Trà lá nam sen ổi,Thanh lọc,1,30600.0,8500,8500,0.13,3978.0,18122.0,59.2
ORD00169,2026-06-09,Zalo/Fanpage,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,3,101600.0,9800,29400,0.0,0.0,72200.0,71.1
ORD00170,2026-06-09,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,3,162500.0,15000,45000,0.13,21125.0,96375.0,59.3
ORD00171,2026-06-09,Zalo/Fanpage,SKU006,Trà hoa đậu biếc,An thần,1,34400.0,8800,8800,0.0,0.0,25600.0,74.4
ORD00172,2026-06-09,Shopee,SKU003,Trà diếp cá rau má,Detox,1,38700.0,10500,10500,0.13,5031.0,23169.0,59.9
ORD00173,2026-06-10,Shopee,SKU001,Trà atiso thanh lọc,Thanh lọc,1,34300.0,9000,9000,0.13,4459.0,20841.0,60.8
ORD00174,2026-06-10,TikTok Shop,SKU002,Trà lá nam sen ổi,Thanh lọc,2,59600.0,8500,17000,0.16,9536.0,33064.0,55.5
ORD00175,2026-06-10,Shopee,SKU003,Trà diếp cá rau má,Detox,2,81300.0,10500,21000,0.13,10569.0,49731.0,61.2
ORD00176,2026-06-10,Shopee,SKU001,Trà atiso thanh lọc,Thanh lọc,2,65300.0,9000,18000,0.13,8489.0,38811.0,59.4
ORD00177,2026-06-10,Shopee,SKU004,Trà cà leo gai giảm cân,Detox,2,108800.0,15000,30000,0.13,14144.0,64656.0,59.4
ORD00178,2026-06-10,Shopee,SKU002,Trà lá nam sen ổi,Thanh lọc,2,65600.0,8500,17000,0.13,8528.0,40072.0,61.1
ORD00179,2026-06-10,Shopee,SKU003,Trà diếp cá rau má,Detox,2,84300.0,10500,21000,0.13,10959.0,52341.0,62.1
ORD00180,2026-06-10,TikTok Shop,SKU006,Trà hoa đậu biếc,An thần,1,34200.0,8800,8800,0.16,5472.0,19928.0,58.3
ORD00181,2026-06-10,Shopee,SKU008,Trà mâm xôi vitamin,Bổ sung dưỡng chất,1,36500.0,9800,9800,0.13,4745.0,21955.0,60.2
ORD00182,2026-06-10,Đại lý,SKU003,Trà diếp cá rau má,Detox,2,77800.0,10500,21000,0.0,0.0,56800.0,73.0
ORD00183,2026-06-10,Đại lý,SKU001,Trà atiso thanh lọc,Thanh lọc,1,34600.0,9000,9000,0.0,0.0,25600.0,74.0
ORD00184,2026-06-10,Shopee,SKU001,Trà atiso thanh lọc,Thanh lọc,1,32900.0,9000,9000,0.13,4277.0,19623.0,59.6
